OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN,X,Y,xcoord,ycoord
104,10178.00000,51210178.00000,West Hinsdale,West Hinsdale,BNSF,10,1,17.80000,D,2,M,1,0,,Hinsdale Ave. and Stough St.,Hinsdale,,,150,aef,2001/02/13,,,,-87.94567,41.79903
105,10183.00000,51210183.00000,Clarendon Hills,Clarendon Hills,BNSF,10,1,18.30000,D,2,M,1,74,,1 S. Prospect Ave.,Clarendon Hills,,,150,aef,2001/02/13,,,,-87.95441,41.79706
106,10195.00000,51210195.00000,Westmont,Westmont,BNSF,10,1,19.50000,D,0,A,1,60,,1 W. Quincy,Westmont,,,150,aef,2001/02/13,,,,-87.97678,41.79561
107,10204.00000,51210204.00000,Fairview Ave.,Fairview Avenue (Downers Grove),BNSF,10,1,20.40000,E,2,M,1,22,,Fairview Ave. and Burlington Ave.,Downers Grove,,,150,aef,2001/02/13,,,,-87.99397,41.79559
108,10212.00000,51210212.00000,Main St.,Main Street (Downers Grove),BNSF,10,1,21.20000,E,0,A,1,82,,5001 Main St.,Downers Grove,,,150,aef,2001/02/13,,,,-88.00983,41.79554
109,10226.00000,51210226.00000,Belmont,Belmont,BNSF,10,1,22.60000,E,0,A,1,24,,5000 Belmont Ave.,Downers Grove,,,150,aef,2001/02/13,,,,-88.03808,41.79549
110,10245.00000,51210245.00000,Lisle,Lisle,BNSF,10,1,24.50000,E,0,N,1,42,,1000 Front St.,Lisle,,,150,aef,2001/02/13,,,,-88.07256,41.79781
111,10285.00000,51210285.00000,Naperville,Naperville,BNSF,10,1,28.50000,F,0,A,1,78,,105 E. 4th Ave.,Naperville,,,150,aef,2001/02/13,,,,-88.14519,41.77981
112,10316.00000,51210316.00000,Route 59,Route 59,BNSF,10,1,31.60000,G,0,A,1,37,,1090 N. Route 59,Aurora,,,150,aef,2001/02/13,,,,-88.20852,41.77813
113,10380.00000,51210380.00000,Aurora,Aurora,BNSF,10,1,37.50000,H,0,A,1,15,,233 N. Broadway,Aurora,,,180,aef,2001/02/13,,,,-88.30768,41.76121
114,11036.00000,51211036.00000,Kedzie,Kedzie,UP-W,11,1,3.60000,A,1,N,0,0,,Kedzie Ave. and Carroll Ave.,Chicago,,,30,ks,1995/08/02,,,,-87.70658,41.88826
115,11085.00000,51211085.00000,Oak Park,Oak Park (Marion Street),UP-W,11,1,8.50000,B,0,N,1,45,,103 N. Marion St.,Oak Park,,,45,ks,1995/08/02,,,,-87.80145,41.88697
116,11097.00000,51211097.00000,River Forest,River Forest,UP-W,11,1,9.70000,B,1,N,1,0,,8001 W. Central St.,River Forest,,,45,ks,1995/08/02,,,,-87.82491,41.88681
